可以。下面给你 100 个比较常用的多音字，并标出常见读音和典型词语：

| 序号  | 多音字 | 常见读音                  | 例词                |
| --- | --- | --------------------- | ----------------- |
| 1   | 行   | xíng / háng           | 行走 / 银行           |
| 2   | 长   | cháng / zhǎng         | 长短 / 长大           |
| 3   | 乐   | lè / yuè              | 快乐 / 音乐           |
| 4   | 重   | zhòng / chóng         | 重要 / 重复           |
| 5   | 好   | hǎo / hào             | 好人 / 爱好           |
| 6   | 还   | hái / huán            | 还有 / 归还           |
| 7   | 便   | biàn / pián           | 方便 / 便宜           |
| 8   | 觉   | jué / jiào            | 觉得 / 睡觉           |
| 9   | 空   | kōng / kòng           | 天空 / 空闲           |
| 10  | 数   | shù / shǔ             | 数学 / 数数           |
| 11  | 少   | shǎo / shào           | 多少 / 少年           |
| 12  | 种   | zhǒng / zhòng         | 种子 / 种地           |
| 13  | 中   | zhōng / zhòng         | 中间 / 中弹           |
| 14  | 为   | wéi / wèi             | 作为 / 为了           |
| 15  | 得   | dé / děi / de         | 得到 / 得去 / 跑得快     |
| 16  | 地   | dì / de               | 土地 / 慢慢地          |
| 17  | 的   | de / dí / dì          | 我的 / 的确 / 目的      |
| 18  | 着   | zhe / zháo / zhuó     | 看着 / 着急 / 着手      |
| 19  | 了   | le / liǎo             | 好了 / 了解           |
| 20  | 和   | hé / hè / huó / huò   | 和平 / 应和 / 和面 / 和药 |
| 21  | 差   | chā / chà / chāi / cī | 差别 / 很差 / 出差 / 参差 |
| 22  | 处   | chǔ / chù             | 处理 / 到处           |
| 23  | 藏   | cáng / zàng           | 收藏 / 西藏           |
| 24  | 当   | dāng / dàng           | 当时 / 上当           |
| 25  | 倒   | dǎo / dào             | 摔倒 / 倒水           |
| 26  | 调   | tiáo / diào           | 调整 / 调查           |
| 27  | 都   | dōu / dū              | 都是 / 首都           |
| 28  | 发   | fā / fà               | 发现 / 头发           |
| 29  | 分   | fēn / fèn             | 分开 / 身分           |
| 30  | 干   | gān / gàn             | 干净 / 干活           |
| 31  | 更   | gēng / gèng           | 更换 / 更加           |
| 32  | 给   | gěi / jǐ              | 给你 / 给予           |
| 33  | 供   | gōng / gòng           | 供应 / 供奉           |
| 34  | 冠   | guān / guàn           | 皇冠 / 冠军           |
| 35  | 观   | guān / guàn           | 观看 / 道观           |
| 36  | 横   | héng / hèng           | 横线 / 蛮横           |
| 37  | 哄   | hōng / hǒng / hòng    | 哄笑 / 哄孩子 / 起哄     |
| 38  | 划   | huá / huà             | 划船 / 计划           |
| 39  | 会   | huì / kuài            | 开会 / 会计           |
| 40  | 几   | jǐ / jī               | 几个 / 几乎           |
| 41  | 假   | jiǎ / jià             | 假话 / 放假           |
| 42  | 间   | jiān / jiàn           | 中间 / 间隔           |
| 43  | 将   | jiāng / jiàng         | 将来 / 将领           |
| 44  | 教   | jiāo / jiào           | 教书 / 教育           |
| 45  | 结   | jié / jiē             | 结果 / 结实           |
| 46  | 尽   | jǐn / jìn             | 尽管 / 尽力           |
| 47  | 禁   | jīn / jìn             | 禁不住 / 禁止          |
| 48  | 卷   | juǎn / juàn           | 卷起 / 试卷           |
| 49  | 看   | kān / kàn             | 看守 / 看见           |
| 50  | 累   | léi / lěi / lèi       | 果实累累 / 积累 / 劳累    |
| 51  | 量   | liáng / liàng         | 测量 / 数量           |
| 52  | 露   | lù / lòu              | 露水 / 露面           |
| 53  | 落   | luò / là / lào        | 落下 / 丢三落四 / 落枕    |
| 54  | 埋   | mái / mán             | 埋藏 / 埋怨           |
| 55  | 难   | nán / nàn             | 困难 / 灾难           |
| 56  | 宁   | níng / nìng           | 安宁 / 宁可           |
| 57  | 胖   | pàng / pán            | 肥胖 / 心宽体胖         |
| 58  | 单   |                       |
| 59  | 喷   | pēn / pèn             | 喷水 / 喷香           |
| 60  | 漂   | piāo / piǎo / piào    | 漂流 / 漂白 / 漂亮      |
| 61  | 铺   | pū / pù               | 铺路 / 店铺           |
| 62  | 强   | qiáng / qiǎng / jiàng | 强大 / 勉强 / 倔强      |
| 63  | 曲   | qū / qǔ               | 弯曲 / 歌曲           |
| 64  | 圈   | quān / juàn           | 圆圈 / 羊圈           |
| 65  | 塞   | sāi / sài / sè        | 塞住 / 边塞 / 堵塞      |
| 66  | 扇   | shān / shàn           | 扇风 / 扇子           |
| 67  | 舍   | shě / shè             | 舍弃 / 宿舍           |
| 68  | 省   | shěng / xǐng          | 省份 / 反省           |
| 69  | 盛   | shèng / chéng         | 盛开 / 盛饭           |
| 70  | 似   | sì / shì              | 相似 / 似的           |
| 71  | 宿   | sù / xiǔ / xiù        | 宿舍 / 一宿 / 星宿      |
| 72  | 弹   | tán / dàn             | 弹琴 / 子弹           |
| 73  | 提   | tí / dī               | 提高 / 提防           |
| 74  | 挑   | tiāo / tiǎo           | 挑选 / 挑战           |
| 75  | 吐   | tǔ / tù               | 吐气 / 呕吐           |
| 76  | 系   | xì / jì               | 系统 / 系鞋带          |
| 77  | 鲜   | xiān / xiǎn           | 新鲜 / 鲜见           |
| 78  | 相   | xiāng / xiàng         | 相互 / 相片           |
| 79  | 兴   | xīng / xìng           | 兴旺 / 高兴           |
| 80  | 血   | xuè / xiě             | 血液 / 流血           |
| 81  | 压   | yā / yà               | 压力 / 压根儿          |
| 82  | 要   | yào / yāo             | 需要 / 要求           |
| 83  | 应   | yīng / yìng           | 应该 / 回应           |
| 84  | 载   | zǎi / zài             | 记载 / 载重           |
| 85  | 扎   | zhā / zhá / zā        | 扎针 / 挣扎 / 扎辫子     |
| 86  | 占   | zhān / zhàn           | 占卜 / 占领           |
| 87  | 涨   | zhǎng / zhàng         | 涨价 / 头昏脑涨         |
| 88  | 折   | zhé / shé / zhē       | 折断 / 折本 / 折腾      |
| 89  | 转   | zhuǎn / zhuàn         | 转身 / 转圈           |
| 90  | 钻   | zuān / zuàn           | 钻研 / 钻石           |
| 91  | 背   | bēi / bèi             | 背包 / 背后           |
| 92  | 奔   | bēn / bèn             | 奔跑 / 投奔           |
| 93  | 泊   | bó / pō               | 停泊 / 湖泊           |
| 94  | 薄   | báo / bó / bò         | 薄饼 / 单薄 / 薄荷      |
| 95  | 朝   | zhāo / cháo           | 朝阳 / 朝代           |
| 96  | 称   | chēng / chèn / chèng  | 称呼 / 称心 / 秤称      |
| 97  | 传   | chuán / zhuàn         | 传说 / 传记           |
| 98  | 答   | dá / dā               | 回答 / 答应           |
| 99  | 担   | dān / dàn             | 担心 / 重担           |
| 100 | 钉   | dīng / dìng           | 钉子 / 钉牢           |

如果你是要拿来做**小学语文识字、字典数据、题库或者程序词库**，我还可以进一步帮你整理成「汉字｜拼音1｜词语1｜拼音2｜词语2」这种更适合 Excel/数据库导入的格式。
